en_US,us,English (US)
af_ZA,af,Afghani
ar_DZ,ara,Arabic
sq_AL,al,Albanian
hy_AM,am,Armenian
de_AT,at,German (Austria)
en_AU,au,English (Australian)
az_AZ,az,Azerbaijani
be_BY,by,Belarusian
nl_BE,be,Belgian
bn_BD,bd,Bangla
in_ID,in,Indian
bs_BA,ba,Bosnian
pt_BR,br,Portuguese (Brazil)
bg_BG,bg,Bulgarian
dz_DZ,dz,"Berber (Algeria, Latin)"
ar_MA,ma,Arabic (Morocco)
en_CM,cm,English (Cameroon)
my_MM,mm,Burmese
fr_CA,ca,French (Canada)
fr_CD,cd,French (Democratic Republic of the Congo)
zh_CN,cn,Chinese
hr_HR,hr,Croatian
cs_CZ,cz,Czech
da_DK,dk,Danish
nl_NL,nl,Dutch
dz_BT,bt,Dzongkha
et_EE,ee,Estonian
fa_IR,ir,Persian
ar_IQ,iq,Iraqi
fo_FO,fo,Faroese
fi_FI,fi,Finnish
fr_FR,fr,French
en_GH,gh,English (Ghana)
fr_GN,gn,French (Guinea)
ka_GE,ge,Georgian
de_DE,de,German
el_GR,gr,Greek
hu_HU,hu,Hungarian
is_IS,is,Icelandic
he_IL,il,Hebrew
it_IT,it,Italian
ja_JP,jp,Japanese
ky_KG,kg,Kyrgyz
km_KH,kh,Khmer (Cambodia)
kz_KZ,kz,Kazakh
lo_LA,la,Lao
es_419,latam,Spanish (Latin American)
lt_LT,lt,Lithuanian
lv_LV,lv,Latvian
mi_NZ,mao,Maori
me_ME,me,Montenegrin
mk_MK,mk,Macedonian
mt_MT,mt,Maltese
mn_MN,mn,Mongolian
nb_NO,no,Norwegian
pl_PL,pl,Polish
pt_PT,pt,Portuguese
ro_RO,ro,Romanian
ru_RU,ru,Russian
sr_RS,rs,Serbian
sl_SI,si,Slovenian
sk_SK,sk,Slovak
es_ES,es,Spanish
sv_SE,se,Swedish
de_CH,ch,German (Switzerland)
ar_SY,sy,Arabic (Syria)
tg_TJ,tj,Tajik
si_LK,lk,Sinhala (phonetic)
th_TH,th,Thai
tr_TR,tr,Turkish
zh_TW,tw,Taiwanese
uk_UA,ua,Ukrainian
en_GB,gb,English (UK)
uz_UZ,uz,Uzbek
vi_VN,vn,Vietnamese
ko_KR,kr,Korean
nec_vndr/jp,nec_vndr/jp,Japanese (PC-98)
ga_IE,ie,Irish
ur_PK,pk,Urdu (Pakistan)
dv_MV,mv,Dhivehi
en_ZA,za,English (South Africa)
eo_EO,epo,Esperanto
ne_NP,np,Nepali
en_NG,ng,English (Nigeria)
am_ET,et,Amharic
sn_SN,sn,Wolof
brx_IN,brai,Braille
tk_TM,tm,Turkmen
bm_ML,ml,Bambara
sw_TZ,tz,Swahili (Tanzania)
fr_TG,tg,French (Togo)
sw_KE,ke,Swahili (Kenya)
tn_BW,bw,Tswana
fil_PH,ph,Filipino
ro_MD,md,Moldavian
id_ID,id,Indonesian (Latin)
jv_ID,jv,Indonesian (Javanese)
ms_MY,my,"Malay (Jawi, Arabic Keyboard)"